Time resolution is 1 ps
Time: 0 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 35000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 55000 | Master Din: xx | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 65000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 75000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 105000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 125000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 145000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 175000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 195000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 215000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 365000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 375000 | Master Din: a5 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 385000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 415000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 435000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 455000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 555000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 575000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
